,Titulos,Año,Duracion,Ranking
124,L.A. Confidential,1h 29m,A,"8,3"
125,Ladrón de bicicletas,2h 36m,18,"8,2"
126,El hundimiento,2h 41m,A,"8,3"
127,Dangal,1h 54m,18,"8,2"
128,Taxi Driver,2h 40m,12,"8,3"
129,Hamilton,3h,16,"8,2"
130,El lobo de Wall Street,2h 20m,13,"8,2"
131,Batman Begins,2h 12m,18,"8,2"
132,La muerte tenía un precio,2h 10m,12,"8,2"
133,Green Book,2h 1m,A,"8,2"
134,Con faldas y a lo loco,1h 43m,A,"8,2"
135,El show de Truman,2h 59m,18,"8,3"
136,Vencedores o vencidos,1h 8m,A,"8,2"
137,El chico,1h 37m,7,"8,2"
138,El padre,2h 18m,13,"8,2"
139,Shutter Island,2h 18m,13,"8,2"
140,Eva al desnudo,2h 38m,13,"8,2"
141,Pozos de ambición,2h 7m,13,"8,2"
142,Jurassic Park (Parque Jurásico),2h 58m,18,"8,2"
143,Casino,2h 10m,12,"8,2"
144,Top Gun: Maverick,1h 47m,13,"8,2"
145,El sexto sentido,2h 40m,13,"8,2"
146,Ran,2h 2m,18,"8,2"
147,No es país para viejos,1h 58m,18,"8,2"
148,El laberinto del fauno,1h 49m,16,"8,2"
149,La cosa (El enigma de otro mundo),2h 10m,18,"8,2"
150,Sin perdón,2h 15m,A,"8,2"
151,Una mente maravillosa,1h 51m,18,"8,2"
152,Kill Bill: Volumen 1,2h 6m,Approved,"8,2"
153,El tesoro de Sierra Madre,1h 50m,13,"8,2"
154,Yojimbo,2h 33m,16,"8,2"
155,Prisioneros,1h 40m,A,"8,2"
156,Buscando a Nemo,2h 52m,18,"8,2"
157,La gran evasión,1h 42m,A,"8,2"
158,Robot salvaje,1h 31m,A,"8,2"
159,Los caballeros de la mesa cuadrada y sus locos seguidores,1h 59m,7,"8,2"
160,El castillo ambulante,2h 4m,14,"8,2"
161,El hombre elefante,1h 45m,A,"8,2"
162,Crimen perfecto,1h 28m,13,"8,2"
163,Rashomon,3h 58m,A,"8,2"
164,Lo que el viento se llevó,2h 10m,18,"8,1"
165,Chinatown,2h 9m,7,"8,2"
166,El secreto de sus ojos,1h 47m,18,"8,1"
167,Lock & Stock,1h 35m,A,"8,1"
